name,primary_url,scanner,desc,package_id,application_id,last_updated,has_downloads,confidence,usefulness,status,evidence_strength,release_url,release_tag,artifact_quality,fork_parent,fork_ahead_by,fork_behind_by,fork_meaningfully_ahead,apk_assets,aab_assets,universal_apk_assets,split_apk_assets,checksum_assets,evidence
Amarok,https://deltazefiro.github.io/Amarok-doc,fdroid,"<p> Amarok is an Android application which enables you to hide your private files & apps with just one click.</p><p> Often, we resort to complex encryptors to secure our files and apps, aiming to shield them from prying eyes. These encryptors, while effective, tend to be slow and resource-intensive, making the encryption of large files such as videos and music a daunting task. Despite their robust security, these methods are often overkill for the average user who simply wish to keep their private files and apps out of unintentional reach.</p><p> Amarok is designed to be a light-weight hider. It disguises file names and headers, causing them to seem ""corrupted"" and unopenable. Amarok also deactivates applications, rendering them invisible in the launcher and system menu.</p><p><b>Features</b></p><ul> <li><strong>User-Friendly</strong>: Easily hide files and applications with a single click.</li> <li><strong>Rapid and Efficient Large File Hiding</strong>: Hides by altering only file name and signature, unaffected by file size.</li> <li><strong>Root-Free Application Hiding</strong>: Makes apps vanish from the launcher. Compatible with Root, Shizuku, Dhizuku, and DSM modes.</li> <li><strong>Panic button</strong>: Use a floating button to quickly hide applications and files in urgent scenarios. </li> <li><strong>Quick Settings Tile</strong>: A control center toggle for immediate hiding, bypassing the need to launch the app.</li> <li><strong>App Lock</strong>: Secure Amarok access with a password or fingerprint.</li> <li><strong>Pleasant Interface</strong>: Clean Material3 design.</li></ul><p>Please be aware that Amarok is <b>not an encryption software</b>, but rather a tool for hiding things. <b>We strongly advise against using Amarok to protect confidential files and applications.</b></p>",deltazero.amarok.foss,,2025-11-18T00:00:00+00:00,True,high,medium,new,weak,https://deltazefiro.github.io/Amarok-doc/,,unknown,,0,0,False,,,,,,"Amarok Hide your private Files and APPs with a single click. <p> Amarok is an Android application which enables you to hide your private files & apps with just one click.</p><p> Often, we resort to complex encryptors to secure our files and apps, aiming to shield them from prying eyes. These encrypt"
Amarok-Hider,https://github.com/deltazefiro/Amarok-Hider,github_code,Hide your private files and apps with a single click.,,,,False,high,low,new,strong,,,unknown,,0,0,False,,,,,,"""rikka.shizuku"" language:Java :: app/src/main/java/deltazero/amarok/apphider/ShizukuAppHider.java"
android,https://github.com/wgtunnel/android,github_code,"A FOSS WireGuard & AmneziaWG Android client with auto-tunneling, lockdown & proxying.",,,,False,high,low,new,strong,,,unknown,,0,0,False,,,,,,"""moe.shizuku"" language:Kotlin :: networkmonitor/src/main/java/com/zaneschepke/networkmonitor/shizuku/ShizukuShell.kt"
Android-FileExplorerDemo,https://github.com/MagicianGuo/Android-FileExplorerDemo,github_meta,能够访问Android/data(obb)目录，已适配Android 5.0 ~ 14。安卓高版本可以使用Shizuku授权。,,,2026-04-26T03:44:08+00:00,True,high,high,new,medium,https://github.com/MagicianGuo/Android-FileExplorerDemo/releases/tag/v1.2,v1.2,installable,,0,0,False,FileExplorer-release.apk,,,,,"""rikka.shizuku"" in:readme :: MagicianGuo/Android-FileExplorerDemo"
android-settings-scheduler,https://github.com/Turtlepaw/android-settings-scheduler,github_code,Schedule any settings that are in the Android Settings app to be changed,,,,False,high,low,new,strong,,,unknown,,0,0,False,,,,,,"""ShizukuProvider"" language:Kotlin :: app/src/main/java/com/turtlepaw/smartbattery/shizuku/utils.kt"
android_airplane_mode,https://github.com/lalakii/android_airplane_mode,github_code,"android switch airplane mode by reflection, need shizuku permission.",,,2026-04-03T11:32:45+00:00,True,high,high,new,strong,https://github.com/lalakii/android_airplane_mode/releases/tag/1.5,1.5,installable,,0,0,False,sample.apk,,,,,"""ShizukuProvider"" language:Java :: app/src/main/java/cn/lalaki/air/ui/AirActivity.java"
AndroidAutoGLM,https://github.com/sidhu-master/AndroidAutoGLM,github_code,这是基于AutoGLM改造的纯血Android版🚀，不依赖电脑💻，无需安装其他任何程序📱，开包即用⚡️，支持语音输入命令🎤。,,,,False,high,low,new,strong,,,unknown,,0,0,False,,,,,,"""rikka.shizuku"" language:Java :: Shizuku/api/demo/src/main/java/rikka/shizuku/demo/util/ApplicationUtils.java"
aniyomi,https://github.com/aniyomiorg/aniyomi,github_code,An app for manga and anime,,,,False,high,low,new,strong,,,unknown,,0,0,False,,,,,,"""rikka.shizuku"" language:Kotlin :: app/src/main/java/eu/kanade/tachiyomi/extension/manga/installer/ShizukuInstallerManga.kt"
anubis,https://github.com/sogonov/anubis,github_meta,Android app manager with VPN integration. Manages groups of apps by freezing/unfreezing them based on VPN connection state.,,,2026-04-30T07:26:11+00:00,True,medium,high,new,medium,https://github.com/sogonov/anubis/releases/tag/0.1.4.1,0.1.4.1,installable,,0,0,False,anubis-0.1.4.1-release.apk,,,,,"""uses shizuku"" in:readme :: sogonov/anubis"
APK-MultiUpdate,https://github.com/alltechdev/APK-MultiUpdate,github_meta,"In-app update library for Android - check GitHub releases, download APKs, install via Native/Session/Root/Shizuku/Dhizuku",,,2026-04-09T16:01:33+00:00,False,high,medium,new,medium,,,unknown,,0,0,False,,,,,,"""rikka.shizuku"" in:readme :: alltechdev/APK-MultiUpdate"
ApkInstaller,https://github.com/Tokyonth/ApkInstaller,github_code,安卓APK安装软件,,,,False,high,low,new,strong,,,unknown,,0,0,False,,,,,,"""ShizukuProvider"" language:Kotlin :: app/src/main/java/com/tokyonth/installer/activity/SettingsActivity.kt"
apkupdater,https://github.com/rumboalla/apkupdater,github_code,APKUpdater is an open source tool that simplifies the process of finding updates for your installed apps.,,,,False,high,low,new,strong,,,unknown,,0,0,False,,,,,,"""moe.shizuku"" language:Kotlin :: app/src/main/kotlin/com/apkupdater/data/github/GitHubApp.kt"
AppDualZuku,https://github.com/nathanatgit/AppDualZuku,github_meta,Manage app multiple instances in workspaces with Shizuku privilege.,,,2026-04-15T17:02:29+00:00,True,medium,high,new,medium,https://github.com/nathanatgit/AppDualZuku/releases/tag/v1.2,v1.2,installable,,0,0,False,app-release.apk,,,,,"""powered by shizuku"" in:readme :: nathanatgit/AppDualZuku"
ApplistDetector,https://github.com/Dr-TSNG/ApplistDetector,github_code,A library to detect suspicious apps like Magisk,,,,False,high,low,new,strong,,,unknown,,0,0,False,,,,,,"""moe.shizuku"" language:Kotlin :: app/src/main/java/icu/nullptr/applistdetector/MainPage.kt"
AppVaultX,https://github.com/sunilpaulmathew/AppVaultX,fdroid,"<p><b>Features</b></p><ul><li><p>🔍 Smart App Recommendations</p><ul><li>Categorizes installed apps as <strong>Recommended</strong>, <strong>Advanced</strong>, <strong>Expert</strong>, or <strong>Unsafe</strong></li><li>Powered by trusted data from the <strong><a href=""https://github.com/0x192/universal-android-debloater"" target=""_blank"" rel=""noindex nofollow noopener"">Universal Android Debloater Next Generation</a></strong> project</li></ul></li><li><p>🛠️ App Management with Shizuku Support</p><ul><li><strong>Enable or Disable Apps</strong> –quickly toggle system and user apps on or off</li><li><strong>Force Close Apps</strong> – safely stop any running app</li><li><strong>Clear Data &amp; Cache</strong> – free storage and reset apps</li><li><strong>Backup APKs &amp; Icons</strong> – save app files and icons for future use</li><li><strong>Uninstall Apps (Individual or Batch)</strong> – remove unwanted apps efficiently</li><li><strong>Restore Removed System Apps</strong> – safely recover system apps</li><li><strong>APK Installer</strong> – Seamlessly install, update, or downgrade APKs — including debug builds — directly from your file manager</li></ul></li><li><p>📱 Standard App Management (Without Shizuku)</p><ul><li><strong>Package Viewer</strong> – explore installed apps and details</li><li><strong>Open Apps</strong> – launch any installed app directly</li><li><strong>Save APKs &amp; Icons</strong> – backup apps locally</li><li><strong>Access System Settings</strong> – quick shortcuts to app-related settings</li></ul></li><li><p>💎 User Experience</p><ul><li><strong>Modern Material Design UI</strong> – sleek, clean, and intuitive</li><li><strong>Batch Operations</strong> – manage multiple apps effortlessly</li></ul></li></ul><p><b>Translations</b></p><p>Please help me to translate this application via <a href=""https://poeditor.com/join/project/9RjHEoKPIK"" target=""_blank"" rel=""noindex nofollow noopener"">POEditor</a>.</p>",in.sunilpaulmathew.appvaultx,,2026-03-16T00:00:00+00:00,True,high,medium,new,weak,https://github.com/sunilpaulmathew/AppVaultX,,unknown,,0,0,False,,,,,,"AppVaultX App Control Made Easy <p><b>Features</b></p><ul><li><p>🔍 Smart App Recommendations</p><ul><li>Categorizes installed apps as <strong>Recommended</strong>, <strong>Advanced</strong>, <strong>Expert</strong>, or <strong>Unsafe</strong></li><li>Powered by trusted data from the <strong><a href="
AppVaultX,https://github.com/sunilpaulmathew/AppVaultX,github_code,"Source code of AppVaultX, a high-performance app management powered by Shizuku",,,,False,high,low,new,strong,,,unknown,,0,0,False,,,,,,"""moe.shizuku"" language:Java :: app/src/main/java/in/sunilpaulmathew/appvaultx/dialogs/AccessDeniedDialog.java"
aShell,https://gitlab.com/sunilpaulmathew/ashell,fdroid,"<p><b>aShell</b> is a local ADB shell for <a href=""https://shizuku.rikka.app/"" target=""_blank"" rel=""noindex nofollow noopener"">Shizuku</a> powered android devices.</p><p><b>Requirements</b></p><ul><li>A fully working <a href=""https://shizuku.rikka.app/"" target=""_blank"" rel=""noindex nofollow noopener"">Shizuku</a> (a completely open-source project) environment. If you are not aware about Shizuku or don't want to use it, please do not bother installing this app. It simply won't work.</li><li>Basic knowledge about adb/Linux command-line.</li></ul><p><b>Features</b></p><ul><li>An elegantly designed user interface.</li><li>Included a bundle of examples about common adb commands.</li><li>Handles continuously running commands, such as logcat, top, etc.</li><li>Search for specific text from the last command output.</li><li>Option to save last command output as a text file.</li><li>Bookmark frequently using commands.</li><li>An auto-dark/light theme.</li><li>A lot more.</li></ul><p><b>Translations</b></p><p>Please help me to translate this application via <a href=""https://poeditor.com/join/project/20PSoEAgfX"" target=""_blank"" rel=""noindex nofollow noopener"">POEditor</a>. You may also translate after downloading the original language string available <a href=""https://gitlab.com/sunilpaulmathew/ashell/-/blob/master/app/src/main/res/values/strings.xml"" target=""_blank"" rel=""noindex nofollow noopener"">GitHub</a>.</p>",in.sunilpaulmathew.ashell,,2026-01-04T00:00:00+00:00,True,high,medium,new,weak,https://gitlab.com/sunilpaulmathew/ashell,,unknown,,0,0,False,,,,,,"aShell aShell: A local ADB shell for Shizuku powered android devices <b>aShell</b> is a local ADB shell for [Shizuku](https://shizuku.rikka.app/) powered android devices.

<b>Requirements</b>

- A fully working [Shizuku](https://shizuku.rikka.app/) (a completely open-source project) environment. If "
aShell,https://gitlab.com/Benjamin_Loison/ashell,gitlab,A local ADB shell for Shizuku powered android devices! (Mirror: https://github.com/sunilpaulmathew/aShell) | latest tag: v0.24 | stars: 0,,,2026-03-13T21:28:59.918000+00:00,False,medium,medium,new,weak,,v0.24,unknown,,0,0,False,,,,,,Benjamin_Loison/ashell
aShell,https://gitlab.com/naywintx/ashell,gitlab,A local ADB shell for Shizuku powered android devices! (Mirror: https://github.com/sunilpaulmathew/aShell) | latest tag: v0.23 | stars: 0,,,2025-11-06T07:01:27.841000+00:00,False,medium,medium,new,weak,,v0.23,unknown,,0,0,False,,,,,,naywintx/ashell
aShell,https://gitlab.com/madkarmaa/ashell,gitlab,A local ADB shell for Shizuku powered android devices! (Mirror: https://github.com/sunilpaulmathew/aShell) | latest tag: v0.17 | stars: 0,,,2025-09-12T10:29:18.523000+00:00,False,medium,medium,new,weak,,v0.17,unknown,,0,0,False,,,,,,madkarmaa/ashell
aShell,https://gitlab.com/xueshanfh/ashell,gitlab,A local ADB shell for Shizuku powered android devices! (Mirror: https://github.com/sunilpaulmathew/aShell) | latest tag: v0.15 | stars: 0,,,2025-05-27T03:38:21.365000+00:00,False,medium,medium,new,weak,,v0.15,unknown,,0,0,False,,,,,,xueshanfh/ashell
aShell,https://gitlab.com/VisionR1/ashell,gitlab,A local ADB shell for Shizuku powered android devices! | latest tag: v0.12 | stars: 0,,,2025-03-08T13:30:44.948000+00:00,False,medium,medium,new,weak,,v0.12,unknown,,0,0,False,,,,,,VisionR1/ashell
aShell,https://gitlab.com/Playmore00/ashell,gitlab,A local ADB shell for Shizuku powered android devices! | latest tag: v0.9 | stars: 0,,,2024-08-31T19:10:38.062000+00:00,False,medium,medium,new,weak,,v0.9,unknown,,0,0,False,,,,,,Playmore00/ashell
aShell,https://gitlab.com/www.pramilaborah/ashell,gitlab,A local ADB shell for Shizuku powered android devices! | latest tag: v0.9 | stars: 0,,,2024-01-22T13:02:11.879000+00:00,False,medium,medium,new,weak,,v0.9,unknown,,0,0,False,,,,,,www.pramilaborah/ashell
aShell,https://gitlab.com/Jetrom17/ashell,gitlab,A local ADB shell for Shizuku powered android devices! | latest tag: v0.8 | stars: 0,,,2023-12-12T15:16:04.178000+00:00,False,medium,medium,new,weak,,v0.8,unknown,,0,0,False,,,,,,Jetrom17/ashell
aShell,https://gitlab.com/kiiijaang2/ashell,gitlab,A local ADB shell for Shizuku powered android devices! | latest tag: v0.8 | stars: 0,,,2023-07-31T04:20:42.276000+00:00,False,medium,medium,new,weak,,v0.8,unknown,,0,0,False,,,,,,kiiijaang2/ashell
aShell,https://gitlab.com/cmartin936936/ashell,gitlab,A local ADB shell for Shizuku powered android devices! | latest tag: v0.7 | stars: 0,,,2023-04-24T12:28:44.155000+00:00,False,medium,medium,new,weak,,v0.7,unknown,,0,0,False,,,,,,cmartin936936/ashell
aShell,https://gitlab.com/sunilpaulmathew/ashell,gitlab,A local ADB shell for Shizuku powered android devices! (Mirror: https://github.com/sunilpaulmathew/aShell) | latest tag: v0.26 | stars: 97,,,2026-04-17T05:50:38.871000+00:00,False,medium,medium,new,weak,https://gitlab.com/sunilpaulmathew/ashell/-/releases/v0.26,v0.26,unknown,,0,0,False,,,,,,sunilpaulmathew/ashell
aShell You,https://github.com/DP-Hridayan/aShellYou,fdroid,"<p><b>Run ADB commands on your device or on other devices 🌱 </b></p><p><b>Features ✨</b></p><ul><li>🎨 Features a modern Material Design 3 user interface</li><li>📲 Execute commands on your device using Shizuku , ROOT or Wireless Debugging</li><li>🔌 Run commands on other devices via OTG connection or Wireless Debugging</li><li>📚 Provides examples of common ADB commands</li><li>🛠️ Supports continuously running commands like logcat and top</li><li>🔍 Search within the command output</li><li>📝 Save or share the command output as a text file</li><li>📑 Bookmark frequently used commands</li></ul><p><b>Requirements ⚙️</b></p><ul><li>Knowledge about basic ADB/Linux commands</li></ul><p><b>Instructions</b></p><ul><li>Install and open the app</li><li>Follow the instructions</li></ul><p><b>Translations</b> Translations are managed via Crowdin: https://crowdin.com/project/ashellyou</p>",in.hridayan.ashell,,2026-01-18T00:00:00+00:00,True,high,medium,new,weak,https://github.com/DP-Hridayan/aShellYou,,unknown,,0,0,False,,,,,,"aShell You A material you designed app for your ADB needs <b>Run ADB commands on your device or on other devices 🌱 </b>

<b>Features ✨</b>

- 🎨 Features a modern Material Design 3 user interface
- 📲 Execute commands on your device using Shizuku , ROOT or Wireless Debugging
- 🔌 Run commands on other "
aShellYou,https://github.com/DP-Hridayan/aShellYou,github_code,A material you designed app for your ADB needs,,,2026-04-30T00:33:00+00:00,True,high,high,new,strong,https://github.com/DP-Hridayan/aShellYou/releases/tag/v7.2.1,v7.2.1,installable,,0,0,False,"aShellYou-v7.2.1-fdroid-release.apk, aShellYou-v7.2.1-github-release.apk",,,,,"""moe.shizuku"" language:Kotlin :: app/src/main/java/in/hridayan/ashell/core/common/constants/Const.kt"
Athena: Firewall DNS AdBlocker,https://easyapps.me,fdroid,"Athena Firewall combines powerful DNS-based ad blocking with complete network control. Block ads, trackers, and unwanted connections across all apps. Works with Root, Shizuku, or VPN mode - choose what fits your device. ✓ DNS ad & tracker blocking ✓ Custom & pre-made blocklists ✓ Per-app firewall rules ✓ Root, Shizuku & VPN modes ✓ Network monitor & kill switch ✓ Material 3 design 🚫 DNS AD BLOCKING & FILTERING Stop ads and trackers before they load with powerful DNS filtering. Block ads in apps, games, and browsers system-wide. - DNS-based ad & tracker blocking - Pre-made blocklists (AdGuard, Steven Black, more) - Custom blocklists - add your own URLs - Auto-update blocklists daily - Custom DNS servers (Cloudflare, Quad9, AdGuard DNS, custom) - Block specific domains manually - Allow/block by IP address - DNS request logging - See every DNS query in real-time 🔥 FIREWALL - THREE POWERFUL MODES Choose the mode that works for YOUR device: ROOT MODE (Rooted devices) - Direct iptables firewall control - Most powerful option - System-level blocking - Maximum control SHIZUKU MODE (No root needed) - Advanced features without rooting - Enhanced firewall capabilities - Works with Shizuku app - Power user features VPN MODE (Any device) - Works on stock Android - Local VPN only (no external servers) - No root or Shizuku needed - Privacy-focused 🔒 PER-APP NETWORK CONTROL Control exactly which apps can access the internet. Block apps individually or by category. - Block apps from WiFi or mobile data - Separate rules for WiFi/data - Whitelist or blacklist mode - System app control - Show offline apps - Track install source - Real-time connection monitoring - Connection logs per app - See app permissions Perfect for stopping background data usage, preventing tracking, and saving battery. 📊 ADVANCED MONITORING Watch your network activity in real-time with comprehensive logging and monitoring. - Status bar network monitor - Real-time connection logs - DNS query logs - Per-app connection history - See which domains apps contact - Export logs for analysis - Live traffic statistics - Bandwidth usage tracking 📡 NETWORK SECURITY FEATURES - Kill switch block all traffic when firewall stops - Allow local network IPs (for printers, smart home) - Block specific IP addresses - Screen protection bypass - VPN slot functions - Auto-start on boot - Background protection 🎨 MODERN MATERIAL 3 DESIGN - Material You dynamic colors - AMOLED dark theme (true black) - Clean, intuitive interface - Smooth animations - Tablet optimized - Multi-language support 🌐 CUSTOM DNS CONTROL Take full control of your DNS for privacy and speed. - Custom DNS servers (DoH coming soon) - Popular DNS providers built-in: - Custom DNS IPs - DNS leak protection - Encrypted DNS queries (roadmap) - Change DNS per network 🛡️ PRIVACY & OPEN SOURCE - 100% open-source (GPL) - No data collection - No analytics or tracking - No ads anywhere - Community-driven 🔧 POWER USER FEATURES - Import/export blocklists - Backup/restore settings - Root OR non-root operation - Shizuku integration - Detailed logging - Custom filtering rules - Advanced DNS options - Developer options ⚡ LIGHTWEIGHT & EFFICIENT - Minimal battery drain - Low memory footprint - Runs efficiently in background - Optimized for performance - No bloat - focused features 📱 PERFECT FOR: - Blocking ads in apps & games - Stopping trackers & analytics - Reducing mobile data usage - Privacy-conscious users - Parents controlling kid's devices - Developers & security researchers - Users who want DNS control - Anyone wanting network visibility - Rooted AND non-rooted devices 🎯 USE CASES Stop App Tracking: Block analytics and trackers in all apps Save Mobile Data: Block ads = less data used Parent Controls: Block inappropriate domains Gaming: Block ads in free games Privacy:Stop apps phoning home Security Research: Monitor all connections Custom Blocking: Block specific domains/IPs",com.kin.athena,,2025-11-15T00:00:00+00:00,True,high,medium,new,weak,https://easyapps.me/,,unknown,,0,0,False,,,,,,"Athena: Firewall DNS AdBlocker Block ads & trackers with DNS filtering. Root, Shizuku, VPN. No-root firewall. Athena Firewall combines powerful DNS-based ad blocking with complete network control. Block ads, trackers, and unwanted connections across all apps. Works with Root, Shizuku, or VPN mode - "
AuroraStoreCrxmson,https://github.com/ThIsLinked/AuroraStoreCrxmson,github_code,A moddify/fork the original Aurora Store source project.,,,,False,high,low,new,strong,,,unknown,,0,0,False,,,,,,"""ShizukuBinderWrapper"" language:Kotlin :: app/src/main/java/com/aurora/store/data/installer/ShizukuInstaller.kt"
AutoDark,https://github.com/0ranko0P/AutoDark,github_code,A small android app to help you schedule dark mode on and off.,,,,False,high,low,new,strong,,,unknown,,0,0,False,,,,,,"""rikka.shizuku"" language:Kotlin :: app/src/main/java/me/ranko/autodark/services/DarkLiveWallpaperService.kt"
AutoGLM-Aura,https://github.com/aellnxin/AutoGLM-Aura,github_code,基于 Open-AutoGLM 框架的纯手机端（Android 原生）AI 智能助手项目，专注于实现免手操作（Hands-Free）的手机自动化 Agent,,,,False,high,low,new,strong,,,unknown,,0,0,False,,,,,,"""ShizukuBinderWrapper"" language:Kotlin :: app/src/main/java/com/autoglm/autoagent/shell/AutoGLMAuraUserService.kt"
AutoJs6,https://github.com/SuperMonster003/AutoJs6,github_code,安卓平台 JavaScript 自动化工具 (Auto.js 二次开发项目),,,,False,high,low,new,strong,,,unknown,,0,0,False,,,,,,"""moe.shizuku"" language:Java :: app/src/main/java/org/autojs/autojs/ui/project/BuildActivity.java"
AutoSkip,https://github.com/xjunz/AutoSkip,github_code,"基于Shizuku授权的安卓""自动跳过""工具",,,,False,high,low,new,strong,,,unknown,,0,0,False,,,,,,"""ShizukuProvider"" language:Kotlin :: app/src/main/java/top/xjunz/automator/main/MainActivity.kt"
AutoTask,https://github.com/xjunz/AutoTask,github_code,An automation assistant app supporting both Shizuku and AccessibilityService.,,,,False,high,low,new,strong,,,unknown,,0,0,False,,,,,,"""moe.shizuku"" language:Kotlin :: app/src/main/java/top/xjunz/tasker/autostart/AutoStartUtil.kt"
Autoxjs_v6_ozobi,https://github.com/ozobiozobi/Autoxjs_v6_ozobi,github_code,基于 Autoxjs v6 魔改,,,,False,high,low,new,strong,,,unknown,,0,0,False,,,,,,"""moe.shizuku"" language:Kotlin :: autojs/src/main/java/com/ozobi/shizuku/OzobiShizuku.kt"
awesome-android-apks,https://github.com/fazle-rabbi-dev/awesome-android-apks,github_meta,🩵 A curated collection of Android APKs I’ve discovered over time — apps that genuinely made my life easier. I believe anyone interested in software will absolutely enjoy browsing this repo.,,,2026-03-24T21:11:08+00:00,False,medium,medium,new,medium,,,unknown,,0,0,False,,,,,,"""requires shizuku"" in:readme :: fazle-rabbi-dev/awesome-android-apks"
awesome-shizuku,https://github.com/timschneeb/awesome-shizuku,github_meta,Curated list of awesome Android apps making use of Shizuku,,,2026-04-30T09:05:45+00:00,False,medium,medium,new,medium,,,unknown,,0,0,False,,,,,,"""requires shizuku"" in:readme :: timschneeb/awesome-shizuku"
AxManager,https://github.com/fahrez182/AxManager,github_code,AxManager is an Android application designed to provide deeper control over apps and the system.,,,,False,high,low,new,strong,,,unknown,,0,0,False,,,,,,"""moe.shizuku"" language:Java :: server/src/main/java/frb/axeron/starter/ServiceStarter.java"
Batt,https://gitlab.com/narektor/batt,fdroid,"<p><i>Batt</i> is a simple app that shows battery status information on Android devices. By default, it shows the number of charge cycles and the charge status. However, if the <code>android.permission.BATTERY_STATS</code> permission is granted (which can be done from the app itself if you have <a href='https://shizuku.rikka.app/' target='_blank' rel='nofollow noopener'>Shizuku</a>), it can also show:</p><ul><li>the battery health</li><li>the battery manufacturing date</li><li>the battery first use date</li></ul><p>Note that this app requires Android 14 to work. It just „targets“ a lower Android version to work around restrictions introduced with newer Android versions (blocking access to battery stats).</p>",com.porg.batt,,2024-10-11T00:00:00+00:00,True,high,medium,new,weak,https://gitlab.com/narektor/batt,,unknown,,0,0,False,,,,,,"Batt shows battery status information <p><i>Batt</i> is a simple app that shows battery status information on Android devices. By default, it shows the number of charge cycles and the charge status. However, if the <code>android.permission.BATTERY_STATS</code> permission is granted (which can be don"
